Date,Close,Index
2015-01-01,4941.51,DSEX
2015-01-05,4926.4,DSEX
2015-01-06,4969.67,DSEX
2015-01-07,4963.66,DSEX
2015-01-08,4968.71,DSEX
2015-01-11,4943.99,DSEX
2015-01-12,4956.92,DSEX
2015-01-13,4969.73,DSEX
2015-01-14,4951.68,DSEX
2015-01-15,4956.09,DSEX
2015-01-18,4917.37,DSEX
2015-01-19,4867.08,DSEX
2015-01-20,4856.94,DSEX
2015-01-21,4783.21,DSEX
2015-01-22,4797.95,DSEX
2015-01-25,4716.76,DSEX
2015-01-26,4708.33,DSEX
2015-01-27,4757.1,DSEX
2015-01-28,4747.63,DSEX
2015-01-29,4724.04,DSEX
2015-02-01,4654.95,DSEX
2015-02-02,4618.43,DSEX
2015-02-03,4656.47,DSEX
2015-02-04,4668.05,DSEX
2015-02-05,4685.03,DSEX
2015-02-08,4701.6,DSEX
2015-02-09,4712.56,DSEX
2015-02-10,4786.69,DSEX
2015-02-11,4810.53,DSEX
2015-02-12,4841.72,DSEX
2015-02-15,4831.17,DSEX
2015-02-16,4769.47,DSEX
2015-02-17,4800.4,DSEX
2015-02-18,4802.27,DSEX
2015-02-19,4788.23,DSEX
2015-02-22,4802.17,DSEX
2015-02-23,4808.64,DSEX
2015-02-24,4801.14,DSEX
2015-02-25,4742.22,DSEX
2015-02-26,4763.21,DSEX
2015-03-01,4739.65,DSEX
2015-03-02,4719.4,DSEX
2015-03-03,4695.79,DSEX
2015-03-04,4681.53,DSEX
2015-03-05,4664.91,DSEX
2015-03-08,4624.94,DSEX
2015-03-09,4626.22,DSEX
2015-03-10,4649.3,DSEX
2015-03-11,4585.72,DSEX
2015-03-12,4556.94,DSEX
2015-03-15,4536.39,DSEX
2015-03-16,4477.99,DSEX
2015-03-18,4442.81,DSEX
2015-03-19,4468.02,DSEX
2015-03-22,4533.21,DSEX
2015-03-23,4506.55,DSEX
2015-03-24,4493.4,DSEX
2015-03-25,4509.3,DSEX
2015-03-29,4558.08,DSEX
